epoch_path,label,src_file
subject_38\stress\epoch_0000.npy,stress,Arithmetic_sub_38.csv
subject_38\stress\epoch_0001.npy,stress,Arithmetic_sub_38.csv
subject_38\stress\epoch_0002.npy,stress,Arithmetic_sub_38.csv
subject_38\stress\epoch_0003.npy,stress,Mirror_image_sub_38.csv
subject_38\stress\epoch_0004.npy,stress,Mirror_image_sub_38.csv
subject_38\stress\epoch_0005.npy,stress,Mirror_image_sub_38.csv
subject_38\relaxed\epoch_0000.npy,relaxed,Relax_sub_38.csv
subject_38\relaxed\epoch_0001.npy,relaxed,Relax_sub_38.csv
subject_38\relaxed\epoch_0002.npy,relaxed,Relax_sub_38.csv
subject_38\stress\epoch_0006.npy,stress,Stroop_sub_38.csv
subject_38\stress\epoch_0007.npy,stress,Stroop_sub_38.csv
subject_38\stress\epoch_0008.npy,stress,Stroop_sub_38.csv
